City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Mukhen,RU,2022-01-31 21:09:24,48.1,136.1,-5.01,96,92,4.45,overcast clouds
120,Yellowknife,CA,2022-01-31 21:04:43,62.456,-114.3525,-6.59,87,46,11.56,scattered clouds
121,Nyrob,RU,2022-01-31 21:09:25,60.733,56.7202,-6.5,100,62,2.73,broken clouds
122,Shache,CN,2022-01-31 21:09:25,38.4167,77.2406,28.08,37,100,2.84,overcast clouds
123,Gizo,SB,2022-01-31 21:09:26,-8.103,156.8419,82.94,76,100,6.51,overcast clouds
124,Amberley,US,2022-01-31 21:09:26,39.2048,-84.428,41.56,53,0,1.99,clear sky
125,Bethel,US,2022-01-31 21:09:26,41.3712,-73.414,30.6,41,0,0.0,clear sky
126,Minab,IR,2022-01-31 21:09:27,27.1467,57.0801,63.9,68,0,2.64,clear sky
127,Georgetown,MY,2022-01-31 21:09:27,5.4112,100.3354,80.89,79,20,0.0,few clouds
128,Butaritari,KI,2022-01-31 21:09:28,3.0707,172.7902,81.34,78,96,14.83,light rain
129,Chuy,UY,2022-01-31 21:09:28,-33.6971,-53.4616,69.85,56,50,16.51,scattered clouds
130,Kombissiri,BF,2022-01-31 21:09:28,12.0656,-1.3375,75.34,14,1,10.89,clear sky
131,Beidao,CN,2022-01-31 21:09:29,34.5686,105.8933,16.09,92,80,0.72,broken clouds
132,Karratha,AU,2022-01-31 21:07:27,-20.7377,116.8463,81.91,83,97,13.4,light rain
133,Santa Cruz Del Sur,CU,2022-01-31 21:09:29,20.7147,-77.9956,76.71,53,97,17.2,light rain
134,Obo,CF,2022-01-31 21:09:30,5.3998,26.4869,73.92,23,98,4.38,overcast clouds
135,Qasigiannguit,GL,2022-01-31 21:09:30,68.8193,-51.1922,8.85,79,100,9.4,overcast clouds
136,Codrington,AU,2022-01-31 21:06:37,-38.2667,141.9667,62.8,72,50,14.61,scattered clouds
137,East London,ZA,2022-01-31 21:05:51,-33.0153,27.9116,77.07,81,100,2.64,overcast clouds
138,Karpathos,GR,2022-01-31 21:10:31,35.507,27.2132,51.76,62,6,4.61,clear sky
139,Geraldton,AU,2022-01-31 21:10:32,-28.7667,114.6,68.41,64,13,12.66,few clouds
140,At-Bashi,KG,2022-01-31 21:10:32,41.1702,75.8106,-0.44,68,77,2.98,broken clouds
141,Manokwari,ID,2022-01-31 21:10:33,-0.8667,134.0833,75.87,80,100,11.14,overcast clouds
142,Sola,VU,2022-01-31 21:02:47,-13.8833,167.55,81.84,75,100,13.94,moderate rain
143,Byron Bay,AU,2022-01-31 21:10:33,-28.65,153.6167,78.87,86,26,2.62,scattered clouds
144,Thompson,CA,2022-01-31 21:10:34,55.7435,-97.8558,6.93,89,100,6.78,overcast clouds
