City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Tessalit,ML,2022-01-31 04:48:38,20.1986,1.0114,63.1,17,3,7.92
162,Mehamn,NO,2022-01-31 04:48:38,71.0357,27.8492,30.38,93,75,14.97
163,Bereda,ES,2022-01-31 04:48:39,43.2686,-7.5406,38.57,100,94,6.71
164,Oppdal,NO,2022-01-31 04:48:39,62.5943,9.6912,9.21,89,85,8.37
165,Bonfim,BR,2022-01-31 04:48:40,3.0833,-59.95,76.77,67,69,3.74
166,Pathein,MM,2022-01-31 04:48:40,16.7833,94.7333,83.28,34,21,9.24
167,Mikuni,JP,2022-01-31 04:48:40,36.2171,136.1519,39.11,52,94,6.85
168,Pevek,RU,2022-01-31 04:48:41,69.7008,170.3133,-18.56,99,94,2.71
169,Srednekolymsk,RU,2022-01-31 04:48:42,67.45,153.6833,-30.59,100,97,4.12
170,Port Hardy,CA,2022-01-31 04:48:42,50.6996,-127.4199,40.75,87,75,8.05
171,Olivenza,ES,2022-01-31 04:47:15,38.6832,-7.103,46.2,56,0,2.75
172,Mulege,MX,2022-01-31 04:48:43,26.8833,-111.9833,59.83,41,74,2.98
173,Namatanai,PG,2022-01-31 04:48:43,-3.6667,152.4333,84.25,72,97,5.75
174,Zdvinsk,RU,2022-01-31 04:48:43,54.7021,78.661,15.66,92,99,11.45
175,Sitka,US,2022-01-31 04:48:44,57.0531,-135.33,33.69,80,20,3.44
176,Nikolskoye,RU,2022-01-31 04:48:44,59.7035,30.7861,26.49,96,100,5.06
177,Carnarvon,AU,2022-01-31 04:48:45,-24.8667,113.6333,87.87,58,23,24.16
178,Aswan,EG,2022-01-31 04:48:45,24.0934,32.907,50.32,49,80,8.77
179,Craig,US,2022-01-31 04:48:45,40.5153,-107.5464,28.54,84,0,0.0
180,Aklavik,CA,2022-01-31 04:48:46,68.2191,-135.0107,4.03,81,100,12.44
181,Soyo,AO,2022-01-31 04:48:46,-6.1349,12.3689,78.19,84,100,2.48
182,Codrington,AU,2022-01-31 04:49:47,-38.2667,141.9667,74.64,68,3,11.74
183,Stolin,BY,2022-01-31 04:49:47,51.8912,26.846,28.56,95,100,18.92
184,Iqaluit,CA,2022-01-31 04:49:48,63.7506,-68.5145,-25.31,74,20,5.01
185,Gizo,SB,2022-01-31 04:49:48,-8.103,156.8419,85.73,67,97,5.48
186,Beira,MZ,2022-01-31 04:49:49,-19.8436,34.8389,75.29,94,20,3.0
187,Marzuq,YE,2022-01-31 04:46:06,14.4,46.4667,65.77,53,58,2.57
188,Lewistown,US,2022-01-31 04:49:50,40.5992,-77.5714,23.41,92,0,0.0
189,Chippewa Falls,US,2022-01-31 04:49:50,44.9369,-91.3929,10.98,83,0,0.0
190,Tiruchchendur,IN,2022-01-31 04:49:50,8.4833,78.1167,86.29,75,82,13.53
191,Porbandar,IN,2022-01-31 04:49:51,21.6422,69.6093,67.98,77,0,4.61
192,Esperance,AU,2022-01-31 04:49:51,-33.8667,121.9,73.24,71,77,22.12
193,Ilulissat,GL,2022-01-31 04:49:51,69.2167,-51.1,-4.5,50,39,22.17
194,Maumere,ID,2022-01-31 04:49:52,-8.6199,122.2111,84.0,74,81,12.95
195,Upata,VE,2022-01-31 04:49:52,8.0086,-62.3989,72.19,87,89,6.26
196,Salalah,OM,2022-01-31 04:49:53,17.0151,54.0924,68.09,52,0,4.61
197,Coihaique,CL,2022-01-31 04:49:53,-45.5752,-72.0662,48.81,71,40,2.3
198,Portland,US,2022-01-31 04:47:55,45.5234,-122.6762,46.38,90,100,1.01
199,Yulara,AU,2022-01-31 04:48:36,-25.2406,130.9889,84.04,65,100,12.66
200,Taunton,GB,2022-01-31 04:49:54,51.0211,-3.1047,46.72,76,99,8.01
201,Auburn,US,2022-01-31 04:49:50,47.3073,-122.2284,43.97,85,40,5.99
202,Urbano Santos,BR,2022-01-31 04:49:55,-3.2078,-43.4036,72.01,97,21,2.8
203,Batemans Bay,AU,2022-01-31 04:49:55,-35.7167,150.1833,92.19,74,63,6.69
204,Sinnamary,GF,2022-01-31 04:49:55,5.3833,-52.95,75.83,88,81,10.36
205,Palimbang,PH,2022-01-31 04:49:56,6.2106,124.1894,85.44,67,100,5.99
206,Tiksi,RU,2022-01-31 04:49:56,71.6872,128.8694,-15.36,99,100,3.87
207,Souillac,MU,2022-01-31 04:49:57,-20.5167,57.5167,85.35,89,75,12.66
208,Dhidhdhoo,MV,2022-01-31 04:46:31,6.8833,73.1,81.54,76,17,9.66
209,Carnduff,CA,2022-01-31 04:49:57,49.1667,-101.8009,12.38,91,89,7.83
210,Mar Del Plata,AR,2022-01-31 04:49:11,-38.0023,-57.5575,63.88,64,100,18.01
211,Kinshasa,CD,2022-01-31 04:49:58,-4.3246,15.3215,73.78,88,40,16.11
212,Richards Bay,ZA,2022-01-31 04:49:58,-28.783,32.0377,74.19,82,96,7.58
213,Hirado,JP,2022-01-31 04:49:59,33.3597,129.5531,50.4,43,1,14.41
214,Mahebourg,MU,2022-01-31 04:49:59,-20.4081,57.7,85.24,89,75,12.66
215,Buraydah,SA,2022-01-31 04:49:59,26.326,43.975,55.85,45,79,13.35
216,Ananindeua,BR,2022-01-31 04:50:00,-1.3656,-48.3722,73.31,94,0,6.91
217,Vila,PT,2022-01-31 04:50:01,42.0304,-8.1588,38.32,59,0,4.43
218,Taihe,CN,2022-01-31 04:50:01,30.8712,105.3845,51.06,55,99,2.53
219,Bandarbeyla,SO,2022-01-31 04:50:02,9.4942,50.8122,76.96,76,85,17.18
220,Aasiaat,GL,2022-01-31 04:50:02,68.7098,-52.8699,-10.93,93,76,14.36
221,Huaraz,PE,2022-01-31 04:50:03,-9.5333,-77.5333,49.05,83,97,2.26
222,Ekhabi,RU,2022-01-31 04:50:03,53.5102,142.9671,7.45,91,100,23.62
223,Araouane,ML,2022-01-31 04:50:03,18.9048,-3.5265,66.49,18,16,11.48
224,Mount Gambier,AU,2022-01-31 04:49:51,-37.8333,140.7667,89.51,20,2,17.27
225,Severo-Yeniseyskiy,RU,2022-01-31 04:50:04,60.3725,93.0408,6.57,90,99,2.53
226,High Prairie,CA,2022-01-31 04:50:05,55.4334,-116.4858,13.3,94,100,13.2
227,Campbell River,CA,2022-01-31 04:50:05,50.0163,-125.2446,36.93,87,40,10.36
228,Necochea,AR,2022-01-31 04:51:05,-38.5473,-58.7368,61.16,56,100,10.6
229,Porto Novo,BJ,2022-01-31 04:48:18,6.4965,2.6036,73.22,35,71,5.5
230,Khon Kaen,TH,2022-01-31 04:51:06,16.5,102.0833,89.56,34,21,2.17
231,Touros,BR,2022-01-31 04:51:07,-5.1989,-35.4608,79.7,83,10,11.12
232,Alvdal,NO,2022-01-31 04:51:07,62.1077,10.6307,15.64,97,74,2.59
233,Fairbanks,US,2022-01-31 04:47:18,64.8378,-147.7164,-17.39,71,0,0.0
234,Nanortalik,GL,2022-01-31 04:51:08,60.1432,-45.2371,22.73,76,99,20.6
235,Cam Ranh,VN,2022-01-31 04:51:08,11.9214,109.1591,82.36,65,20,6.91
236,Lebu,CL,2022-01-31 04:51:09,-37.6167,-73.65,55.8,75,0,20.02
237,Hauterive,FR,2022-01-31 04:51:09,46.0901,3.4459,42.03,93,55,4.56
238,Zhigansk,RU,2022-01-31 04:51:10,66.7697,123.3711,-27.71,98,96,1.81
239,Kawalu,ID,2022-01-31 04:51:10,-7.3817,108.2082,85.96,65,95,2.26
240,Asilah,MA,2022-01-31 04:51:11,35.465,-6.0348,53.56,77,15,5.91
241,Houlton,US,2022-01-31 04:51:11,46.1262,-67.8403,5.72,66,0,0.0
242,Dwarka,IN,2022-01-31 04:51:12,22.2394,68.9678,74.26,70,0,9.01
243,Molchanovo,RU,2022-01-31 04:51:12,57.5817,83.7692,9.34,95,63,6.82
244,Ilo,PE,2022-01-31 04:51:12,-17.6394,-71.3375,68.31,76,20,4.83
245,Kodiak,US,2022-01-31 04:46:53,57.79,-152.4072,20.71,79,0,5.75
246,Mhlume,SZ,2022-01-31 04:48:37,-26.0333,31.85,69.87,93,84,0.87
247,Deputatskiy,RU,2022-01-31 04:51:13,69.3,139.9,-23.28,100,68,1.9
248,Panorama,GR,2022-01-31 04:51:14,40.5878,23.0315,42.33,45,0,3.0
249,Ayia Galini,GR,2022-01-31 04:51:14,35.1,24.6833,52.75,72,49,4.0
250,Nsanje,MW,2022-01-31 04:49:55,-16.92,35.262,74.53,93,14,2.28
251,Katsuura,JP,2022-01-31 04:51:15,35.1333,140.3,48.31,33,90,9.13
252,Hualmay,PE,2022-01-31 04:51:15,-11.0964,-77.6139,69.69,87,100,6.53
253,Cayenne,GF,2022-01-31 04:51:16,4.9333,-52.3333,79.09,88,75,1.99
254,Geraldton,AU,2022-01-31 04:51:16,-28.7667,114.6,84.61,48,0,21.85
255,Brae,GB,2022-01-31 04:51:17,60.3964,-1.353,39.11,59,100,31.23
